theta_deg,phi_deg,RCS_total_dBsm,RCS_VV_dBsm,RCS_HH_dBsm
0,0,-6.58486,-6.58486,-300
0,10.2857,-6.58486,-6.58486,-300
0,20.5714,-6.58486,-6.58486,-300
0,30.8571,-6.58486,-6.58486,-300
0,41.1429,-6.58486,-6.58486,-300
0,51.4286,-6.58486,-6.58486,-300
0,61.7143,-6.58486,-6.58486,-300
0,72,-6.58486,-6.58486,-300
0,82.2857,-6.58486,-6.58486,-300
0,92.5714,-6.58486,-6.58486,-300
0,102.857,-6.58486,-6.58486,-300
0,113.143,-6.58486,-6.58486,-300
0,123.429,-6.58486,-6.58486,-300
0,133.714,-6.58486,-6.58486,-300
0,144,-6.58486,-6.58486,-300
0,154.286,-6.58486,-6.58486,-300
0,164.571,-6.58486,-6.58486,-300
0,174.857,-6.58486,-6.58486,-300
0,185.143,-6.58486,-6.58486,-300
0,195.429,-6.58486,-6.58486,-300
0,205.714,-6.58486,-6.58486,-300
0,216,-6.58486,-6.58486,-300
0,226.286,-6.58486,-6.58486,-300
0,236.571,-6.58486,-6.58486,-300
0,246.857,-6.58486,-6.58486,-300
0,257.143,-6.58486,-6.58486,-300
0,267.429,-6.58486,-6.58486,-300
0,277.714,-6.58486,-6.58486,-300
0,288,-6.58486,-6.58486,-300
0,298.286,-6.58486,-6.58486,-300
0,308.571,-6.58486,-6.58486,-300
0,318.857,-6.58486,-6.58486,-300
0,329.143,-6.58486,-6.58486,-300
0,339.429,-6.58486,-6.58486,-300
0,349.714,-6.58486,-6.58486,-300
0,360,-6.58486,-6.58486,-300
5.14286,0,-6.97045,-6.97045,-300
5.14286,10.2857,-6.96933,-7.11117,-21.8999
5.14286,20.5714,-6.9661,-7.54274,-16.02
5.14286,30.8571,-6.96118,-8.29614,-12.7347
5.14286,41.1429,-6.95523,-9.43371,-10.5717
5.14286,51.4286,-6.94899,-11.0739,-9.07314
5.14286,61.7143,-6.94325,-13.4573,-8.03988
5.14286,72,-6.93875,-17.1708,-7.37129
5.14286,82.2857,-6.93604,-24.4132,-7.01438
5.14286,92.5714,-6.93547,-33.9323,-6.94415
5.14286,102.857,-6.93712,-20.023,-7.15594
5.14286,113.143,-6.94079,-15.082,-7.66409
5.14286,123.429,-6.94601,-12.149,-8.50611
5.14286,133.714,-6.95211,-10.1801,-9.75511
5.14286,144,-6.95831,-8.8113,-11.551
5.14286,154.286,-6.96383,-7.87625,-14.1879
5.14286,164.571,-6.96795,-7.28923,-18.4366
5.14286,174.857,-6.97015,-7.00547,-27.8854
5.14286,185.143,-6.97015,-7.00547,-27.8854
5.14286,195.429,-6.96795,-7.28923,-18.4366
5.14286,205.714,-6.96383,-7.87625,-14.1879
5.14286,216,-6.95831,-8.8113,-11.551
5.14286,226.286,-6.95211,-10.1801,-9.75511
5.14286,236.571,-6.94601,-12.149,-8.50611
5.14286,246.857,-6.94079,-15.082,-7.66409
5.14286,257.143,-6.93712,-20.023,-7.15594
5.14286,267.429,-6.93547,-33.9323,-6.94415
5.14286,277.714,-6.93604,-24.4132,-7.01438
5.14286,288,-6.93875,-17.1708,-7.37129
5.14286,298.286,-6.94325,-13.4573,-8.03988
5.14286,308.571,-6.94899,-11.0739,-9.07314
5.14286,318.857,-6.95523,-9.43371,-10.5717
5.14286,329.143,-6.96118,-8.29614,-12.7347
5.14286,339.429,-6.9661,-7.54274,-16.02
5.14286,349.714,-6.96933,-7.11117,-21.8999
5.14286,360,-6.97045,-6.97045,-300
10.2857,0,-8.16025,-8.16025,-300
10.2857,10.2857,-8.15567,-8.30095,-22.984
10.2857,20.5714,-8.14253,-8.73246,-17.104
10.2857,30.8571,-8.12257,-9.48575,-13.8187
10.2857,41.1429,-8.09856,-10.6233,-11.6556
10.2857,51.4286,-8.0736,-12.2636,-10.1572
10.2857,61.7143,-8.05071,-14.6471,-9.12398
10.2857,72,-8.03277,-18.3606,-8.4554
10.2857,82.2857,-8.022,-25.603,-8.09847
10.2857,92.5714,-8.01971,-35.122,-8.02819
10.2857,102.857,-8.02618,-21.2126,-8.23987
10.2857,113.143,-8.04076,-16.2716,-8.74802
10.2857,123.429,-8.06166,-13.3387,-9.59015
10.2857,133.714,-8.08614,-11.3699,-10.8392
10.2857,144,-8.11112,-10.0011,-12.6352
10.2857,154.286,-8.13338,-9.06603,-15.272
10.2857,164.571,-8.15004,-8.47895,-19.5206
10.2857,174.857,-8.15889,-8.19507,-28.9693
10.2857,185.143,-8.15889,-8.19507,-28.9693
10.2857,195.429,-8.15004,-8.47895,-19.5206
10.2857,205.714,-8.13338,-9.06603,-15.272
10.2857,216,-8.11112,-10.0011,-12.6352
10.2857,226.286,-8.08614,-11.3699,-10.8392
10.2857,236.571,-8.06166,-13.3387,-9.59015
10.2857,246.857,-8.04076,-16.2716,-8.74802
10.2857,257.143,-8.02618,-21.2126,-8.23987
10.2857,267.429,-8.01971,-35.122,-8.02819
10.2857,277.714,-8.022,-25.603,-8.09847
10.2857,288,-8.03277,-18.3606,-8.4554
10.2857,298.286,-8.05071,-14.6471,-9.12398
10.2857,308.571,-8.0736,-12.2636,-10.1572
10.2857,318.857,-8.09856,-10.6233,-11.6556
10.2857,329.143,-8.12257,-9.48575,-13.8187
10.2857,339.429,-8.14253,-8.73246,-17.104
10.2857,349.714,-8.15567,-8.30095,-22.984
10.2857,360,-8.16025,-8.16025,-300
15.4286,0,-10.0299,-10.0299,-300
15.4286,10.2857,-10.0193,-10.1705,-24.6755
15.4286,20.5714,-9.9889,-10.6019,-18.7953
