theta_deg,phi_deg,RCS_total_dBsm,RCS_VV_dBsm,RCS_HH_dBsm
0.0,0,-15.03,-15.03,-15.03
1.0,0,-14.89,-14.89,-14.89
2.0,0,-14.76,-14.76,-14.76
3.0,0,-14.65,-14.65,-14.65
4.0,0,-14.55,-14.55,-14.55
5.0,0,-14.48,-14.48,-14.48
6.0,0,-14.44,-14.44,-14.44
7.0,0,-14.42,-14.42,-14.42
8.0,0,-14.43,-14.43,-14.43
9.0,0,-14.47,-14.47,-14.47
10.0,0,-14.53,-14.53,-14.53
11.0,0,-14.61,-14.61,-14.61
12.0,0,-14.71,-14.71,-14.71
13.0,0,-14.83,-14.83,-14.83
14.0,0,-14.96,-14.96,-14.96
15.0,0,-15.10,-15.10,-15.10
16.0,0,-15.24,-15.24,-15.24
17.0,0,-15.37,-15.37,-15.37
18.0,0,-15.49,-15.49,-15.49
19.0,0,-15.59,-15.59,-15.59
20.0,0,-15.67,-15.67,-15.67
21.0,0,-15.72,-15.72,-15.72
22.0,0,-15.73,-15.73,-15.73
23.0,0,-15.72,-15.72,-15.72
24.0,0,-15.67,-15.67,-15.67
25.0,0,-15.60,-15.60,-15.60
26.0,0,-15.51,-15.51,-15.51
27.0,0,-15.40,-15.40,-15.40
28.0,0,-15.28,-15.28,-15.28
29.0,0,-15.15,-15.15,-15.15
30.0,0,-15.03,-15.03,-15.03
31.0,0,-14.91,-14.91,-14.91
32.0,0,-14.79,-14.79,-14.79
33.0,0,-14.69,-14.69,-14.69
34.0,0,-14.61,-14.61,-14.61
35.0,0,-14.54,-14.54,-14.54
36.0,0,-14.48,-14.48,-14.48
37.0,0,-14.44,-14.44,-14.44
38.0,0,-14.43,-14.43,-14.43
39.0,0,-14.42,-14.42,-14.42
40.0,0,-14.44,-14.44,-14.44
41.0,0,-14.47,-14.47,-14.47
42.0,0,-14.51,-14.51,-14.51
43.0,0,-14.57,-14.57,-14.57
44.0,0,-14.63,-14.63,-14.63
45.0,0,-14.71,-14.71,-14.71
46.0,0,-14.79,-14.79,-14.79
47.0,0,-14.88,-14.88,-14.88
48.0,0,-14.98,-14.98,-14.98
49.0,0,-15.07,-15.07,-15.07
50.0,0,-15.17,-15.17,-15.17
51.0,0,-15.26,-15.26,-15.26
52.0,0,-15.34,-15.34,-15.34
53.0,0,-15.42,-15.42,-15.42
54.0,0,-15.50,-15.50,-15.50
55.0,0,-15.56,-15.56,-15.56
56.0,0,-15.61,-15.61,-15.61
57.0,0,-15.66,-15.66,-15.66
58.0,0,-15.69,-15.69,-15.69
59.0,0,-15.72,-15.72,-15.72
60.0,0,-15.73,-15.73,-15.73
61.0,0,-15.73,-15.73,-15.73
62.0,0,-15.73,-15.73,-15.73
63.0,0,-15.72,-15.72,-15.72
64.0,0,-15.70,-15.70,-15.70
65.0,0,-15.67,-15.67,-15.67
66.0,0,-15.64,-15.64,-15.64
67.0,0,-15.61,-15.61,-15.61
68.0,0,-15.57,-15.57,-15.57
69.0,0,-15.54,-15.54,-15.54
70.0,0,-15.50,-15.50,-15.50
71.0,0,-15.46,-15.46,-15.46
72.0,0,-15.42,-15.42,-15.42
73.0,0,-15.38,-15.38,-15.38
74.0,0,-15.34,-15.34,-15.34
75.0,0,-15.30,-15.30,-15.30
76.0,0,-15.27,-15.27,-15.27
77.0,0,-15.23,-15.23,-15.23
78.0,0,-15.20,-15.20,-15.20
79.0,0,-15.17,-15.17,-15.17
80.0,0,-15.15,-15.15,-15.15
81.0,0,-15.12,-15.12,-15.12
82.0,0,-15.10,-15.10,-15.10
83.0,0,-15.08,-15.08,-15.08
84.0,0,-15.07,-15.07,-15.07
85.0,0,-15.05,-15.05,-15.05
86.0,0,-15.04,-15.04,-15.04
