theta_deg,phi_deg,RCS_total_dBsm,RCS_VV_dBsm,RCS_HH_dBsm
0,0,-16.505,-16.505,-300
0,10.2857,-16.505,-16.505,-300
0,20.5714,-16.505,-16.505,-300
0,30.8571,-16.505,-16.505,-300
0,41.1429,-16.505,-16.505,-300
0,51.4286,-16.505,-16.505,-300
0,61.7143,-16.505,-16.505,-300
0,72,-16.505,-16.505,-300
0,82.2857,-16.505,-16.505,-300
0,92.5714,-16.505,-16.505,-300
0,102.857,-16.505,-16.505,-300
0,113.143,-16.505,-16.505,-300
0,123.429,-16.505,-16.505,-300
0,133.714,-16.505,-16.505,-300
0,144,-16.505,-16.505,-300
0,154.286,-16.505,-16.505,-300
0,164.571,-16.505,-16.505,-300
0,174.857,-16.505,-16.505,-300
0,185.143,-16.505,-16.505,-300
0,195.429,-16.505,-16.505,-300
0,205.714,-16.505,-16.505,-300
0,216,-16.505,-16.505,-300
0,226.286,-16.505,-16.505,-300
0,236.571,-16.505,-16.505,-300
0,246.857,-16.505,-16.505,-300
0,257.143,-16.505,-16.505,-300
0,267.429,-16.505,-16.505,-300
0,277.714,-16.505,-16.505,-300
0,288,-16.505,-16.505,-300
0,298.286,-16.505,-16.505,-300
0,308.571,-16.505,-16.505,-300
0,318.857,-16.505,-16.505,-300
0,329.143,-16.505,-16.505,-300
0,339.429,-16.505,-16.505,-300
0,349.714,-16.505,-16.505,-300
0,360,-16.505,-16.505,-300
5.14286,0,-16.5391,-16.5391,-300
5.14286,10.2857,-16.538,-16.6798,-31.4686
5.14286,20.5714,-16.5348,-17.1114,-25.5887
5.14286,30.8571,-16.5299,-17.8648,-22.3034
5.14286,41.1429,-16.5239,-19.0024,-20.1404
5.14286,51.4286,-16.5177,-20.6425,-18.6418
5.14286,61.7143,-16.5119,-23.026,-17.6086
5.14286,72,-16.5074,-26.7395,-16.94
5.14286,82.2857,-16.5047,-33.9819,-16.5831
5.14286,92.5714,-16.5042,-43.501,-16.5128
5.14286,102.857,-16.5058,-29.5917,-16.7246
5.14286,113.143,-16.5095,-24.6507,-17.2328
5.14286,123.429,-16.5147,-21.7177,-18.0748
5.14286,133.714,-16.5208,-19.7488,-19.3238
5.14286,144,-16.527,-18.38,-21.1197
5.14286,154.286,-16.5325,-17.4449,-23.7566
5.14286,164.571,-16.5366,-16.8579,-28.0052
5.14286,174.857,-16.5388,-16.5742,-37.4541
5.14286,185.143,-16.5388,-16.5742,-37.4541
5.14286,195.429,-16.5366,-16.8579,-28.0052
5.14286,205.714,-16.5325,-17.4449,-23.7566
5.14286,216,-16.527,-18.38,-21.1197
5.14286,226.286,-16.5208,-19.7488,-19.3238
5.14286,236.571,-16.5147,-21.7177,-18.0748
5.14286,246.857,-16.5095,-24.6507,-17.2328
5.14286,257.143,-16.5058,-29.5917,-16.7246
